featureid	Intercept	ATTRIBUTE_sex[T.male]	ATTRIBUTE_samplecollectiontimehongcode[T.Cort_1200]	ATTRIBUTE_samplecollectiontimehongcode[T.Cort_1600]	ATTRIBUTE_samplecollectiontimehongcode[T.Cort_1900]	ATTRIBUTE_samplecollectiontimehongcode[T.Cort_Waking]	C(ATTRIBUTE_bmicat_bditotalcat, Treatment('HL'))[T.HH]	C(ATTRIBUTE_bmicat_bditotalcat, Treatment('HL'))[T.OH]	C(ATTRIBUTE_bmicat_bditotalcat, Treatment('HL'))[T.OL]	ATTRIBUTE_age	ATTRIBUTE_race	ATTRIBUTE_metabolomicsplatenumber	ATTRIBUTE_del8
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
1	2.17842887039868	0.0547041025199129	2.41752386525996	2.56696079650931	2.39297260920595	2.98423628694344	4.33886298052195	1.34837088036951	1.67754621558379	-0.0264372245684065	0.594600865379025	0.674596852514779	0.0163903020455222
2	3.50076888199536	-0.310442534442978	0.28765035108455	0.302385553513093	0.174159666701071	0.639620827501305	2.91035755983713	-0.0179239804703344	0.20217270903777	0.00277275617273669	0.454919868841816	0.729343167398011	0.0335768655075412
3	3.938936930854	-0.257709828373031	0.299605373896439	0.327904686127229	0.168338438673727	0.66581134683419	2.92268773428324	-0.0671427543121923	0.117399049331654	-0.0023006980582871	0.401967847481419	0.479385829422509	0.0248044354974012
4	1.92262889142719	-0.27089640235527	0.273625616587479	0.320372566376252	0.209228893919699	0.580858753984459	2.91054817549112	0.0445474093001734	0.29425354056548	0.00383350837083678	0.439401784673382	0.870027384612595	0.0320507779850345
5	-0.59769775275501	-0.31331982946022	0.244765286005814	0.241883262787385	0.240049502058737	0.563395308321007	3.03850599638346	0.129159898046816	0.154736471702565	0.00678677323313574	0.588871727924843	1.20374513313535	0.0472463432832341
6	-0.359000223915899	-0.585730520244674	0.242444042719681	0.391628727112336	0.240140339537374	0.697537230318077	2.80890509001139	0.0759702627700221	0.390549850990285	-0.000979549930969673	0.356492602959324	1.38691032573942	0.0328076023741345
8	3.70755789871899	-0.267208841796951	0.280847553767045	0.269210323486848	0.212589642210714	0.641694115465172	2.81654390207651	-0.138056069131528	0.0536049132842911	-0.00243368160871645	0.405306691065479	0.319822854254281	0.0258104669063072
9	6.88952611084667	-0.403922048564987	0.333848003901322	-0.0914342554468681	0.447624227209799	0.258778618639	2.69577559343699	-0.193566351648008	-0.00753681607056733	0.00381516504140715	0.179616102710415	-0.34881716325518	0.00536056963193226
10	-0.413799780648077	-0.257345435377197	0.249942307032426	0.344623073730988	0.15675153414797	0.663005875413902	3.09010299555185	0.119986385588015	0.114915204574574	0.00531309309454779	0.576590593665887	1.19321287319425	0.04527875111836
11	5.48211572762219	-0.359864023681717	0.425129537142594	0.525635465775056	0.25034513156008	0.69381337053109	3.00003918520334	0.279708594564761	0.675222111274709	0.000804307191093964	0.0805794091374169	-0.359959536340202	0.0165953528210707
13	2.84042189713207	-0.28035834169014	0.322128061808427	0.349608167801423	0.245175739927999	0.63710908777047	2.96683856359842	0.0290178959411036	0.275642705490102	-0.00407279443887849	0.423522436752964	0.598928301487004	0.0236972047148924
14	0.636455994803583	-0.271199968811111	0.366403822459061	0.272757038269563	0.0881234614093227	0.732546614473351	3.04594072214487	0.128645629171694	0.125695896675099	-0.00264995706228395	0.508857996895958	0.615298240337407	0.0405382502956967
15	9.14704917069164	-0.0313354257307813	0.166366581477006	0.144119247589631	0.0733021704394741	0.281331347291954	2.62086793295267	0.0447416012328516	0.172131014396657	-0.0064818409547009	0.13262508226936	-0.46779316022631	-0.00673383771044207
17	-4.01598240737232	-0.648857203479843	0.204441551722367	0.397945150528474	0.220564743681662	0.709964560335167	2.95719012133005	0.216409892324771	0.354543161918629	0.00385879191609244	0.443200820818592	1.85890013620618	0.0497830480470042
18	2.43611348863331	-0.24502348637207	0.30234122709163	0.30520461479239	0.24264659564089	0.616516636674889	2.880452955879	-0.0782574708420385	0.174254251052846	-0.00177877743689199	0.413192489877392	0.447130641791855	0.0247112371160369
19	0.0401785194465276	-0.239089486356811	0.218682293452103	0.353934034500642	0.230420490904562	0.595604704683312	2.75935002676371	-0.00518777918401847	0.0941012626190079	5.01221701703497e-05	0.502286994591404	1.00898838684324	0.0374707214667182
21	2.57401330466953	-0.22236159181221	0.232684855021317	0.221534952316804	0.17669143359255	0.536308811967857	2.86939796320322	-0.0849741990524877	0.139642310668935	0.00014591242225985	0.40531980408733	0.482337064001595	0.0228122294082026
23	6.57745860214916	-0.0585364226065443	0.239749674357255	0.272401556168122	0.125195643110983	0.567979859178551	2.63355025164011	-0.0608165557343114	0.0155401950378311	-0.0118655718207159	0.172384509578396	-0.237837665822471	-0.00703242904108953
24	-0.379131335060919	-0.483454850669937	0.22877526716121	0.291404232178254	0.136435887022726	0.520817564790733	2.8607244145048	-0.0815050895172704	0.229647470046986	-0.000843975441137748	0.453325042262722	1.25204295561079	0.032756208269177
25	1.2144758522102	-0.316963908430176	0.275835041560013	0.311491951141877	0.106587788267843	0.637112187211998	3.11948558203104	0.0404472057860743	0.188490939666737	-0.00166402918247362	0.433479899302174	0.431553727839028	0.0319123061506729
